case;piece;position;algorithm
case 18;15_22;24_31;R'DRDFD'F'D'LD'L'D'F'DF
case 19;15_22;13_49;LLDDLLDDLL
case 20;15_22;33_51;RD'RD'B'DBDDF'DFDLD'L'
case 21;15_22;17_40;D'F'DFDLD'L'
case 22;15_22;26_38;DDF'DFDLD'L'
case 23;15_22;35_42;DF'DFDLD'L'
case 24;15_22;44_47;D'LD'L'D'F'DF
case 25;15_22;31_24;FFDDFFDDFF
case 26;15_22;22_15;LD'L'DF'DDFDDF'DF
case 27;15_22;49_13;BD'B'D'L'DLDF'DFDLD'L'
case 28;15_22;51_33;RD'R'D'B'DBDLD'L'D'FDF'
case 29;15_22;40_17;DDLD'L'D'F'DF
case 30;15_22;38_26;DLD'L'B'F'BF
case 31;15_22;42_35;LD'L'B'F'BF
case 32;15_22;47_44;F'DFDLD'L'
;;;
case 33;13_49;13_49;-
case 34;13_49;15_22;LLDDLLDDLL
case 35;13_49;24_31;R'DRDFD'F'D'L'DLDBD'B'
case 36;13_49;33_51;BBDDBBDDBB
case 37;13_49;17_40;DBD'B'D'L'DL
case 38;13_49;26_38;BD'B'D'L'DL
case 39;13_49;35_42;D'BD'B'D'L'DL
case 40;13_49;44_47;D'L'DLDBD'B'
case 41;13_49;31_24;R'DRDFD'F'DDBD'B'D'L'DL
case 42;13_49;22_15;LD'LD'F'DFD'L'DLDBD'B'
case 43;13_49;49_13;L'DLDBD'B'DL'DLDBL'B'
case 44;13_49;51_33;RD'R'D'B'DBDL'DLDBD'B'
case 45;13_49;40_17;DDL'DLDBD'B'
case 46;13_49;38_26;DL'DLDBD'B'
case 47;13_49;42_35;L'DLDBD'B'
case 48;13_49;47_44;DDBD'B'D'L'DL
;;;
case 49;33_51;33_51;-
case 50;33_51;15_22;UULDL'UUDDRD'R
case 51;33_51;13_49;BBDDBBDDBB
case 52;33_51;24_31;R'DRDFD'F'DRD'R'D'B'DB
case 53;33_51;17_40;DB'DBDRD'R'
case 54;33_51;26_38;B'DBDRD'R'
case 55;33_51;35_42;D'B'DBDRD'R'
case 56;33_51;44_47;DRD'R'D'B'DB
case 57;33_51;31_24;RRDDRRDDRR
case 58;33_51;22_15;LD'L'D'F'DFDRD'R'D'B'DB
case 59;33_51;49_13;L'DLDB'D'BD'RD'R'D'B'DB
case 60;33_51;51_33;RD'R'DB'DDBDDB'DB
case 61;33_51;40_17;RD'R'D'BDB
case 62;33_51;38_26;D'RD'R'D'BDB
case 63;33_51;42_35;DDRD'R'D'BDB
case 64;33_51;47_44;DDB'DBDRD'R'
